# Eelst 		 Emultipole 
     -0.00047314       0.00005064
     -0.00094160      -0.00006956
     -0.00093922       0.00006095
     -0.00054771       0.00011049
     -0.00109833       0.00005790
     -0.00065209       0.00008009
     -0.00087256       0.00000200
     -0.00025292      -0.00002808
     -0.00010137      -0.00003100
     -0.00063784       0.00003881
     -0.00136662       0.00004169
     -0.00099335      -0.00007120
     -0.00035629      -0.00004131
     -0.00356757      -0.00009606
     -0.00055071      -0.00003858
     -0.00082576       0.00000877
     -0.00513040       0.00012067
     -0.00057374       0.00004288
     -0.00018024       0.00004324
     -0.00155143      -0.00006589
     -0.00032467      -0.00004842
     -0.00076413      -0.00007543
     -0.00109786       0.00001658
     -0.00531530      -0.00004857
     -0.00454030      -0.00012163
     -0.00225343      -0.00010522
     -0.00014131      -0.00000887
     -0.00009584       0.00001622
     -0.00013857       0.00001442
     -0.00017012      -0.00002048
     -0.00112316      -0.00000600
     -0.00713282       0.00029922
     -0.00028443       0.00003869
     -0.00181240      -0.00009440
     -0.00082200      -0.00009545
     -0.00124225       0.00002280
     -0.00977841       0.00005674
     -0.00037087      -0.00006087
     -0.00010916      -0.00002318
     -0.00722261      -0.00001501
     -0.00022076      -0.00005672
     -0.00116691      -0.00005748
     -0.00076954      -0.00000338
     -0.00031400       0.00007107
     -0.00034777       0.00004794
     -0.00012570       0.00000091
     -0.00027306       0.00001403
     -0.00043467      -0.00006390
     -0.00373794      -0.00008884
     -0.00031041       0.00005318
     -0.00011885       0.00003662
     -0.00759767      -0.00020276
     -0.00082946      -0.00003230
     -0.00127558      -0.00008763
     -0.00098229       0.00000003
     -0.00016310       0.00002615
     -0.00241946       0.00009248
     -0.00010460      -0.00001628
     -0.00110644      -0.00008155
     -0.00008217      -0.00000614
     -0.00064763      -0.00004638
     -0.00087982       0.00004163
     -0.00052397       0.00008353
     -0.00247817       0.00008384
     -0.00180083       0.00008156
     -0.00029750       0.00006081
     -0.00006550      -0.00000010
     -0.00016100      -0.00002561
     -0.00159295      -0.00010047
     -0.00010050       0.00002052
     -0.00042462      -0.00008065
     -0.00407279      -0.00004766
     -0.00221881      -0.00002148
     -0.00016155       0.00002795
     -0.00012615      -0.00002210
     -0.00012664       0.00001180
     -0.00532347       0.00008263
     -0.00089636      -0.00005349
     -0.00009576       0.00000007
     -0.01143122      -0.00009288
     -0.00233222       0.00016452
     -0.00137315       0.00003050
     -0.00008866       0.00004730
     -0.00009205      -0.00000133
     -0.00006837       0.00001077
     -0.00066052      -0.00006932
     -0.00006513       0.00000149
     -0.00123776      -0.00010496
     -0.00069102      -0.00001030
     -0.00153012      -0.00005004
     -0.00037490       0.00006372
     -0.00008083       0.00000729
     -0.00027289       0.00001833
     -0.00039544      -0.00000751
     -0.00047019       0.00003512
     -0.00011696      -0.00000670
     -0.00005464       0.00001948
     -0.00019320      -0.00002018
     -0.00019593       0.00000339
     -0.00014894      -0.00002597
     -0.00054923       0.00001726
     -0.00174656      -0.00004497
     -0.00108032      -0.00010754
     -0.00049067      -0.00004429
     -0.00179826      -0.00010395
     -0.00094698       0.00008677
     -0.00222580       0.00027058
     -0.00009487       0.00002039
     -0.00034206       0.00004298
     -0.00362869      -0.00014280
     -0.00064657      -0.00005723
     -0.00004855       0.00001786
     -0.00009106      -0.00001210
     -0.00092875       0.00003032
     -0.00012695      -0.00001910
     -0.00031113       0.00001266
     -0.00029364      -0.00004518
     -0.00071783      -0.00004663
     -0.00019478       0.00001130
     -0.00015015       0.00000428
     -0.00119414      -0.00002879
     -0.00075625      -0.00009630
     -0.00221175       0.00018697
     -0.00015277       0.00002099
